date,revenue_ntd,source
2023-01,165823,sample
2023-02,134313,sample
2023-03,145406,sample
2023-04,160902,sample
2023-05,176294,sample
2023-06,156279,sample
2023-07,175838,sample
2023-08,177004,sample
2023-09,177020,sample
2023-10,222427,sample
2023-11,187695,sample
2023-12,219100,sample
2024-01,215974,sample
2024-02,152863,sample
2024-03,195215,sample
2024-04,236020,sample
2024-05,229620,sample
2024-06,207875,sample
2024-07,256949,sample
2024-08,250987,sample
2024-09,251872,sample
2024-10,314230,sample
2024-11,276050,sample
2024-12,278043,sample
2025-01,293230,sample
2025-02,260776,sample
2025-03,299200,sample
2025-04,349569,sample
2025-05,346000,sample
